EmployeeNumber,Department,EnvironmentSatisfaction,JobRole,PerformanceRating,YearsAtCompany,YearsInCurrentRole,MonthlyIncome
1281,Sales,High,Sales Executive,Excellent,3,2,4538
1282,Sales,Very High,Manager,Outstanding,29,10,19847
1283,Research & Development,Very High,Manufacturing Director,Excellent,9,7,10512
1285,Research & Development,High,Laboratory Technician,Excellent,11,8,4444
1286,Research & Development,Very High,Laboratory Technician,Excellent,4,2,2154
1288,Research & Development,High,Manager,Excellent,25,9,19190
1289,Human Resources,High,Human Resources,Excellent,10,9,4490
1291,Research & Development,High,Research Scientist,Excellent,3,2,3506
1292,Research & Development,Medium,Research Scientist,Excellent,1,0,2372
1293,Sales,Very High,Sales Executive,Excellent,21,7,10231
1294,Research & Development,High,Manufacturing Director,Excellent,16,14,5410
1295,Research & Development,Low,Healthcare Representative,Excellent,10,7,7978
1296,Research & Development,Very High,Laboratory Technician,Excellent,2,2,3867
1297,Research & Development,Medium,Laboratory Technician,Excellent,7,0,2838
1298,Research & Development,High,Manufacturing Director,Excellent,8,4,4695
1299,Research & Development,Medium,Laboratory Technician,Excellent,7,7,3339
1301,Research & Development,Very High,Research Scientist,Excellent,3,2,2080
1303,Research & Development,Very High,Research Scientist,Excellent,2,2,2096
1304,Sales,High,Sales Executive,Excellent,10,7,6209
1306,Research & Development,Medium,Manager,Outstanding,0,0,18061
1307,Research & Development,High,Manager,Excellent,19,9,17123
1308,Research & Development,Low,Research Scientist,Excellent,2,2,2372
1309,Research & Development,Very High,Laboratory Technician,Excellent,10,4,4883
1310,Research & Development,High,Research Scientist,Excellent,5,2,3904
1311,Research & Development,Low,Laboratory Technician,Excellent,9,2,4627
1312,Research & Development,Very High,Healthcare Representative,Excellent,7,7,7094
1314,Human Resources,Very High,Human Resources,Excellent,7,6,3423
1315,Research & Development,High,Laboratory Technician,Excellent,9,8,6674
1317,Research & Development,Very High,Research Director,Excellent,3,2,16880
1318,Sales,Very High,Sales Executive,Excellent,5,4,9094
1319,Sales,Medium,Sales Executive,Excellent,8,7,8446
1321,Research & Development,Medium,Manager,Outstanding,9,1,11916
1322,Research & Development,Low,Manufacturing Director,Excellent,8,7,4534
1324,Sales,Very High,Sales Executive,Excellent,10,8,9852
1329,Sales,High,Sales Executive,Excellent,19,2,6151
1331,Sales,Very High,Sales Representative,Excellent,3,2,2302
1333,Research & Development,Low,Laboratory Technician,Excellent,3,2,2362
1334,Research & Development,High,Manager,Excellent,20,8,17861
1336,Research & Development,Very High,Manager,Excellent,19,9,19187
1338,Human Resources,Very High,Manager,Excellent,7,3,19717
1340,Research & Development,High,Research Scientist,Excellent,4,2,3544
1344,Research & Development,Very High,Healthcare Representative,Excellent,9,7,8500
1346,Research & Development,High,Research Scientist,Excellent,9,8,4661
1349,Sales,High,Sales Executive,Excellent,9,3,4103
1350,Research & Development,High,Research Scientist,Excellent,9,6,4249
1352,Human Resources,High,Manager,Excellent,33,9,14026
1355,Sales,Medium,Sales Executive,Excellent,7,7,6893
1356,Sales,High,Sales Executive,Excellent,10,8,6125
1358,Research & Development,Very High,Laboratory Technician,Excellent,3,2,3669
1360,Research & Development,High,Manufacturing Director,Excellent,10,9,10008
1361,Research & Development,Medium,Laboratory Technician,Outstanding,4,2,2387
1362,Sales,Low,Sales Executive,Excellent,15,7,4639
1363,Research & Development,Very High,Manufacturing Director,Excellent,10,9,7898
1364,Sales,High,Sales Representative,Excellent,1,0,2534
1367,Research & Development,Very High,Manufacturing Director,Excellent,5,2,13142
1368,Research & Development,Very High,Laboratory Technician,Excellent,0,0,1611
1369,Research & Development,Very High,Laboratory Technician,Excellent,9,7,5363
1371,Sales,Very High,Sales Executive,Outstanding,6,2,5071
1372,Sales,Low,Sales Executive,Excellent,19,7,13695
1373,Research & Development,Very High,Manufacturing Director,Excellent,19,16,13402
1374,Research & Development,Low,Research Scientist,Outstanding,5,4,2029
1375,Research & Development,Medium,Healthcare Representative,Outstanding,12,11,6377
1377,Research & Development,Medium,Laboratory Technician,Excellent,8,7,5429
1379,Sales,High,Sales Representative,Excellent,1,0,2785
1380,Sales,Very High,Sales Executive,Excellent,4,2,4614
1382,Research & Development,Very High,Research Scientist,Excellent,4,2,2610
1383,Research & Development,High,Healthcare Representative,Excellent,14,11,6687
1387,Sales,High,Sales Executive,Excellent,5,3,4724
1389,Research & Development,Very High,Manufacturing Director,Excellent,10,2,6179
1390,Sales,Low,Sales Executive,Excellent,5,4,6120
1391,Sales,Medium,Sales Executive,Excellent,4,2,10596
1392,Research & Development,Very High,Research Scientist,Excellent,6,2,5467
1394,Research & Development,High,Research Scientist,Excellent,6,4,2996
1395,Sales,Medium,Sales Executive,Excellent,5,4,9998
1396,Sales,High,Sales Executive,Excellent,3,2,4078
1397,Research & Development,High,Healthcare Representative,Outstanding,6,4,10920
1399,Sales,Low,Sales Executive,Excellent,3,2,6232
1401,Research & Development,Very High,Manufacturing Director,Excellent,5,3,13247
1402,Research & Development,Low,Research Scientist,Excellent,20,7,4081
1403,Sales,Very High,Sales Executive,Excellent,6,2,5769
1405,Research & Development,Very High,Research Scientist,Excellent,8,2,2394
1407,Research & Development,Low,Research Scientist,Excellent,4,3,3904
1408,Human Resources,High,Manager,Excellent,20,7,16799
1409,Research & Development,High,Laboratory Technician,Excellent,5,4,2950
1411,Research & Development,Low,Laboratory Technician,Excellent,3,2,3629
1412,Research & Development,High,Manufacturing Director,Excellent,2,2,9362
1415,Research & Development,Low,Laboratory Technician,Excellent,3,2,3229
1417,Research & Development,High,Laboratory Technician,Excellent,7,7,3578
1419,Human Resources,Medium,Human Resources,Excellent,10,9,7988
1420,Research & Development,Low,Laboratory Technician,Outstanding,4,3,4284
1421,Research & Development,High,Healthcare Representative,Excellent,8,7,7553
1422,Research & Development,Very High,Research Director,Excellent,20,7,17328
1423,Research & Development,Very High,Research Director,Outstanding,9,8,19701
1424,Research & Development,Medium,Research Director,Excellent,7,7,14732
1425,Sales,Low,Sales Executive,Excellent,5,4,9278
1427,Sales,Medium,Sales Representative,Excellent,1,0,1359
1428,Sales,Very High,Sales Executive,Excellent,3,2,4779
1430,Research & Development,Low,Research Director,Excellent,3,2,16422
1431,Research & Development,Very High,Research Scientist,Excellent,4,3,2996
1433,Research & Development,Low,Research Scientist,Excellent,1,0,1261
1434,Research & Development,Medium,Laboratory Technician,Excellent,5,0,2099
1435,Research & Development,Low,Laboratory Technician,Excellent,10,4,5810
1436,Sales,High,Sales Executive,Excellent,3,2,5647
1438,Research & Development,Low,Research Scientist,Excellent,6,5,3420
1439,Sales,Low,Sales Representative,Excellent,3,2,4400
1440,Research & Development,High,Laboratory Technician,Excellent,6,5,3500
1441,Research & Development,Low,Research Scientist,Outstanding,3,2,2066
1443,Research & Development,Low,Research Director,Excellent,20,17,17169
1445,Sales,Very High,Sales Executive,Excellent,5,4,4162
1446,Sales,Very High,Sales Executive,Excellent,4,3,9204
1447,Research & Development,Very High,Laboratory Technician,Excellent,5,4,3294
1448,Research & Development,Medium,Research Scientist,Excellent,4,2,2127
1449,Research & Development,High,Laboratory Technician,Excellent,8,7,3975
1453,Sales,Low,Sales Executive,Excellent,13,7,10793
1457,Sales,Low,Sales Executive,Excellent,7,7,10096
1458,Research & Development,Low,Laboratory Technician,Outstanding,1,0,3646
1459,Research & Development,High,Manufacturing Director,Excellent,10,8,7446
1460,Research & Development,Medium,Healthcare Representative,Excellent,7,7,10851
1461,Human Resources,Very High,Human Resources,Excellent,3,2,2109
1464,Research & Development,Medium,Laboratory Technician,Excellent,2,2,3722
1465,Research & Development,Medium,Manufacturing Director,Excellent,3,1,9380
1466,Sales,High,Sales Executive,Excellent,2,2,5486
1467,Human Resources,Low,Human Resources,Excellent,2,2,2742
1468,Research & Development,Very High,Research Director,Excellent,9,8,13757
1469,Sales,Very High,Sales Executive,Excellent,5,4,8463
1471,Research & Development,High,Laboratory Technician,Excellent,5,2,3162
1472,Research & Development,Very High,Research Director,Excellent,9,8,16598
1473,Research & Development,Low,Healthcare Representative,Excellent,3,2,6651
1474,Research & Development,High,Research Scientist,Excellent,3,1,2345
1475,Research & Development,Very High,Research Scientist,Excellent,5,2,3420
1477,Sales,Very High,Sales Executive,Excellent,4,3,4373
1478,Sales,Very High,Sales Executive,Excellent,13,9,4759
1479,Sales,Very High,Sales Executive,Excellent,2,1,5301
1480,Research & Development,Low,Laboratory Technician,Excellent,12,9,3673
1481,Sales,Low,Sales Executive,Excellent,1,0,4768
1482,Research & Development,High,Research Scientist,Excellent,1,0,1274
1483,Research & Development,Medium,Research Scientist,Outstanding,12,9,4900
1484,Research & Development,High,Healthcare Representative,Excellent,8,7,10466
1485,Research & Development,Medium,Research Director,Excellent,14,8,17007
1486,Sales,Low,Sales Representative,Excellent,3,2,2909
1487,Sales,Low,Sales Executive,Excellent,5,3,5765
1489,Sales,Low,Sales Executive,Outstanding,15,9,4599
1492,Sales,Very High,Sales Representative,Excellent,1,0,2404
1494,Research & Development,Medium,Laboratory Technician,Excellent,0,0,3172
1495,Sales,Very High,Sales Representative,Excellent,1,0,2033
1496,Research & Development,Medium,Manufacturing Director,Excellent,2,2,10209
1497,Sales,High,Sales Executive,Excellent,10,7,8620
1499,Human Resources,High,Human Resources,Outstanding,5,3,2064
1501,Research & Development,Very High,Healthcare Representative,Excellent,3,2,4035
1502,Research & Development,Low,Laboratory Technician,Excellent,5,4,3838
1503,Sales,High,Sales Executive,Excellent,5,4,4591
1504,Research & Development,High,Laboratory Technician,Excellent,0,0,2561
1506,Research & Development,Low,Research Scientist,Excellent,1,0,1563
1507,Sales,High,Sales Executive,Excellent,4,2,4898
1509,Research & Development,High,Laboratory Technician,Outstanding,3,2,4789
1513,Research & Development,Very High,Laboratory Technician,Excellent,3,2,3180
1514,Research & Development,High,Manufacturing Director,Excellent,8,6,6549
1515,Research & Development,Very High,Healthcare Representative,Excellent,0,0,6388
1516,Research & Development,High,Manager,Outstanding,5,2,11244
1520,Research & Development,Medium,Manager,Outstanding,14,9,16032
1522,Research & Development,Low,Research Scientist,Excellent,9,7,2362
1523,Research & Development,Very High,Research Director,Excellent,20,6,16328
1525,Research & Development,Medium,Manufacturing Director,Excellent,2,0,8376
1527,Sales,High,Manager,Excellent,13,12,16606
1529,Research & Development,Very High,Healthcare Representative,Excellent,11,8,8606
1533,Research & Development,Low,Laboratory Technician,Excellent,4,3,2272
1534,Research & Development,Very High,Laboratory Technician,Excellent,5,4,2018
1535,Sales,Very High,Sales Executive,Excellent,10,9,7083
1537,Research & Development,Very High,Research Scientist,Excellent,7,2,4084
1539,Research & Development,High,Research Director,Excellent,32,6,14411
1541,Sales,Medium,Sales Representative,Outstanding,11,10,2308
1542,Research & Development,High,Laboratory Technician,Excellent,1,0,4841
1543,Research & Development,Low,Research Scientist,Excellent,10,8,4285
1544,Research & Development,High,Healthcare Representative,Excellent,7,7,9715
1545,Research & Development,Very High,Manufacturing Director,Excellent,5,3,4320
1546,Research & Development,Very High,Research Scientist,Outstanding,5,4,2132
1547,Research & Development,Very High,Healthcare Representative,Excellent,20,8,10124
1548,Sales,Low,Sales Executive,Excellent,8,4,5473
1549,Research & Development,Medium,Laboratory Technician,Excellent,15,14,5207
1550,Human Resources,High,Manager,Outstanding,21,7,16437
1551,Research & Development,High,Laboratory Technician,Excellent,1,1,2296
1552,Research & Development,Very High,Healthcare Representative,Excellent,2,2,4069
1553,Research & Development,Low,Healthcare Representative,Excellent,10,8,7441
1554,Sales,Medium,Sales Representative,Outstanding,5,3,2430
1555,Research & Development,Very High,Research Scientist,Excellent,7,1,5878
1556,Sales,High,Sales Representative,Outstanding,3,2,2644
1557,Sales,High,Sales Executive,Excellent,8,7,6439
1558,Research & Development,High,Research Scientist,Excellent,1,0,2451
1560,Sales,Low,Sales Executive,Excellent,2,2,6392
1562,Sales,Medium,Sales Executive,Excellent,10,8,9714
1563,Human Resources,High,Human Resources,Excellent,6,3,6077
1564,Research & Development,Very High,Laboratory Technician,Excellent,3,0,2450
1568,Sales,High,Sales Executive,Excellent,4,2,9250
1569,Research & Development,Low,Laboratory Technician,Excellent,1,0,2074
1572,Research & Development,High,Manufacturing Director,Excellent,33,7,10169
1573,Research & Development,High,Manufacturing Director,Excellent,5,2,4855
1574,Research & Development,Very High,Research Scientist,Excellent,6,5,4087
1576,Research & Development,High,Research Scientist,Excellent,8,2,2367
1577,Research & Development,Low,Research Scientist,Excellent,1,0,2972
1578,Sales,High,Manager,Outstanding,36,6,19586
1580,Research & Development,Medium,Research Scientist,Excellent,2,2,5484
1581,Research & Development,Low,Research Scientist,Outstanding,1,0,2061
1582,Sales,High,Sales Executive,Excellent,9,8,9924
1583,Sales,Medium,Sales Executive,Excellent,3,2,4198
1585,Sales,Medium,Sales Executive,Excellent,1,0,6815
1586,Research & Development,Medium,Laboratory Technician,Excellent,10,9,4723
1587,Research & Development,Low,Healthcare Representative,Excellent,5,2,6142
1588,Sales,Very High,Sales Executive,Excellent,7,6,8237
1590,Research & Development,Low,Healthcare Representative,Excellent,6,4,8853
1591,Sales,High,Manager,Excellent,1,0,19331
1592,Research & Development,Very High,Research Scientist,Excellent,2,2,2073
1594,Research & Development,Low,Laboratory Technician,Excellent,3,2,5562
1595,Research & Development,Very High,Manager,Outstanding,1,0,19613
1596,Research & Development,Medium,Laboratory Technician,Excellent,10,9,3407
1597,Research & Development,Very High,Healthcare Representative,Excellent,8,2,5063
1598,Sales,Very High,Sales Executive,Excellent,5,4,4639
1599,Research & Development,Very High,Laboratory Technician,Excellent,6,4,4876
1601,Research & Development,High,Laboratory Technician,Excellent,1,0,2690
1602,Sales,Very High,Manager,Excellent,26,0,17567
1604,Research & Development,High,Laboratory Technician,Excellent,1,1,2408
1605,Research & Development,Medium,Research Scientist,Excellent,4,2,2814
1606,Research & Development,Medium,Healthcare Representative,Excellent,30,8,11245
1607,Research & Development,Medium,Research Scientist,Excellent,3,2,3312
1608,Research & Development,Medium,Research Director,Excellent,22,7,19049
1609,Research & Development,Medium,Research Scientist,Excellent,6,4,2141
1611,Research & Development,High,Laboratory Technician,Excellent,10,7,5769
1612,Sales,Low,Sales Executive,Excellent,10,7,4385
1613,Sales,Very High,Sales Executive,Excellent,5,2,5332
1614,Research & Development,High,Manufacturing Director,Excellent,3,2,4663
1615,Research & Development,High,Manufacturing Director,Excellent,9,7,4724
1617,Research & Development,High,Laboratory Technician,Excellent,9,6,3211
1618,Research & Development,Medium,Manufacturing Director,Excellent,7,7,5377
1619,Research & Development,Very High,Laboratory Technician,Excellent,7,7,4066
1621,Research & Development,Medium,Research Scientist,Excellent,16,15,5208
1622,Research & Development,Medium,Manufacturing Director,Outstanding,5,3,4877
1623,Research & Development,High,Research Scientist,Excellent,2,2,3117
1624,Sales,Medium,Sales Representative,Excellent,0,0,1569
1625,Human Resources,Very High,Manager,Excellent,5,2,19658
1627,Research & Development,High,Laboratory Technician,Excellent,10,8,3069
1628,Research & Development,Low,Manufacturing Director,Excellent,18,15,10435
1630,Research & Development,High,Healthcare Representative,Excellent,14,11,4148
1631,Research & Development,High,Manufacturing Director,Excellent,4,3,5768
1633,Research & Development,Low,Manufacturing Director,Excellent,9,2,5042
1635,Research & Development,Very High,Manufacturing Director,Excellent,10,7,5770
1638,Research & Development,Very High,Manufacturing Director,Excellent,5,4,7756
1639,Sales,Very High,Sales Executive,Excellent,13,12,10306
1640,Research & Development,Medium,Research Scientist,Excellent,8,4,3936
1641,Research & Development,High,Manufacturing Director,Excellent,4,2,7945
1642,Human Resources,Low,Human Resources,Excellent,10,7,5743
1644,Research & Development,High,Manager,Outstanding,2,2,15202
1645,Sales,Low,Sales Executive,Excellent,2,2,5440
1646,Research & Development,Low,Research Scientist,Excellent,6,3,3760
1647,Research & Development,Medium,Research Scientist,Excellent,3,2,3517
1648,Research & Development,Very High,Research Scientist,Excellent,4,2,2580
1649,Research & Development,Low,Laboratory Technician,Excellent,4,2,2166
1650,Sales,High,Sales Executive,Excellent,5,2,5869
1651,Research & Development,Medium,Healthcare Representative,Excellent,3,2,8008
1653,Research & Development,Very High,Manufacturing Director,Excellent,7,7,5206
1654,Research & Development,Very High,Manufacturing Director,Outstanding,5,4,5295
1655,Research & Development,Low,Research Director,Excellent,4,2,16413
1656,Research & Development,Very High,Research Director,Excellent,14,11,13269
1657,Sales,High,Sales Representative,Excellent,2,2,2783
1658,Research & Development,Very High,Research Scientist,Excellent,11,8,5433
1659,Research & Development,Low,Laboratory Technician,Excellent,4,3,2013
1661,Research & Development,High,Healthcare Representative,Excellent,15,11,13966
1662,Research & Development,Very High,Manufacturing Director,Excellent,3,2,4374
1664,Research & Development,Very High,Healthcare Representative,Outstanding,5,4,6842
1665,Research & Development,Medium,Manager,Outstanding,10,8,17426
1666,Research & Development,High,Research Director,Outstanding,14,10,17603
1667,Sales,Very High,Sales Executive,Outstanding,11,9,4581
1668,Research & Development,Very High,Research Scientist,Excellent,13,11,4735
1669,Sales,Low,Sales Executive,Excellent,10,0,4187
1670,Sales,Very High,Sales Executive,Excellent,6,2,5505
1671,Research & Development,Very High,Research Scientist,Excellent,9,5,5470
1673,Sales,Low,Sales Executive,Excellent,10,0,5476
1674,Research & Development,Very High,Laboratory Technician,Excellent,2,2,2587
1675,Research & Development,Very High,Laboratory Technician,Outstanding,4,3,2440
1676,Sales,Medium,Manager,Excellent,3,2,15972
1677,Research & Development,High,Manager,Excellent,8,7,15379
1678,Sales,Very High,Sales Executive,Excellent,2,0,7082
1680,Sales,Very High,Sales Representative,Excellent,2,2,2728
1681,Sales,High,Sales Executive,Outstanding,6,5,5368
1682,Research & Development,Low,Healthcare Representative,Excellent,3,2,5347
1683,Human Resources,High,Human Resources,Excellent,2,2,3195
1684,Research & Development,Very High,Laboratory Technician,Excellent,5,4,3989
1687,Research & Development,Very High,Laboratory Technician,Excellent,0,0,3306
1689,Research & Development,Medium,Healthcare Representative,Excellent,4,3,7005
1691,Sales,Very High,Sales Representative,Excellent,9,7,2655
1692,Research & Development,Very High,Laboratory Technician,Excellent,1,0,1393
1693,Research & Development,Very High,Laboratory Technician,Outstanding,7,7,2570
1694,Research & Development,Low,Research Scientist,Excellent,4,2,3537
1696,Research & Development,Medium,Laboratory Technician,Excellent,15,10,3986
1697,Research & Development,High,Healthcare Representative,Outstanding,1,0,10883
1698,Research & Development,Medium,Laboratory Technician,Excellent,14,11,2028
1700,Sales,High,Sales Executive,Excellent,6,3,9525
1701,Research & Development,Medium,Research Scientist,Excellent,10,9,2929
1702,Sales,High,Sales Representative,Outstanding,3,2,2275
1703,Research & Development,High,Healthcare Representative,Excellent,8,7,7879
1704,Research & Development,Low,Research Scientist,Excellent,5,4,4930
1706,Sales,Very High,Sales Executive,Excellent,10,9,7847
1707,Research & Development,High,Research Scientist,Excellent,5,3,4401
1708,Sales,Very High,Sales Executive,Excellent,10,8,9241
1709,Research & Development,Very High,Laboratory Technician,Excellent,5,3,2974
1710,Sales,High,Sales Representative,Excellent,13,7,4502
1712,Research & Development,High,Healthcare Representative,Outstanding,23,15,10748
1714,Human Resources,Very High,Human Resources,Excellent,1,0,1555
1716,Sales,High,Sales Executive,Excellent,23,5,12936
1718,Research & Development,Very High,Laboratory Technician,Excellent,3,2,2305
1719,Research & Development,Very High,Research Director,Excellent,21,6,16704
1720,Research & Development,Low,Research Scientist,Excellent,5,2,3433
1721,Research & Development,Medium,Laboratory Technician,Excellent,5,2,3477
1722,Human Resources,High,Human Resources,Excellent,3,2,6430
1724,Research & Development,Medium,Manufacturing Director,Excellent,1,0,6516
1725,Research & Development,Medium,Laboratory Technician,Excellent,6,2,3907
1727,Research & Development,High,Healthcare Representative,Excellent,10,7,5562
1728,Research & Development,Very High,Manufacturing Director,Excellent,7,7,6883
1729,Research & Development,Medium,Research Scientist,Excellent,10,0,2862
1731,Sales,High,Sales Executive,Excellent,1,0,4978
1732,Sales,High,Sales Executive,Excellent,10,6,10368
1733,Sales,Medium,Sales Executive,Excellent,2,2,6134
1734,Sales,Low,Sales Executive,Excellent,0,0,6735
1735,Research & Development,High,Laboratory Technician,Excellent,3,2,3295
1736,Research & Development,Very High,Manufacturing Director,Outstanding,5,4,5238
1737,Research & Development,Very High,Laboratory Technician,Excellent,9,8,6472
1739,Sales,Very High,Sales Executive,Excellent,4,3,9610
1740,Sales,Medium,Manager,Excellent,21,8,19833
1744,Human Resources,High,Human Resources,Outstanding,5,0,9756
1745,Research & Development,Very High,Research Scientist,Excellent,9,7,4968
1746,Human Resources,Low,Human Resources,Excellent,2,2,2145
1747,Human Resources,High,Human Resources,Excellent,4,2,2180
1749,Sales,Low,Sales Executive,Excellent,5,2,8346
1751,Research & Development,High,Research Scientist,Excellent,6,2,3445
1752,Sales,Medium,Sales Representative,Excellent,2,2,2760
1753,Research & Development,Very High,Healthcare Representative,Excellent,3,2,6294
1754,Sales,High,Sales Executive,Excellent,7,7,7140
1755,Research & Development,Very High,Research Scientist,Excellent,5,0,2932
1756,Sales,Very High,Sales Executive,Excellent,11,7,5147
1757,Sales,Very High,Sales Executive,Excellent,5,1,4507
1758,Sales,Low,Sales Executive,Outstanding,0,0,8564
1760,Research & Development,High,Laboratory Technician,Excellent,6,1,2468
1761,Sales,Low,Sales Executive,Excellent,1,0,8161
1762,Research & Development,Very High,Research Scientist,Excellent,1,0,2109
1763,Research & Development,High,Healthcare Representative,Excellent,7,0,5294
1764,Research & Development,Medium,Research Scientist,Excellent,7,7,2718
1766,Research & Development,Medium,Healthcare Representative,Excellent,1,0,5811
1767,Research & Development,High,Research Scientist,Excellent,1,0,2437
1768,Research & Development,Medium,Laboratory Technician,Outstanding,5,3,2766
1770,Research & Development,High,Research Director,Excellent,1,0,19038
1771,Research & Development,Very High,Research Scientist,Excellent,9,8,3055
1772,Research & Development,High,Laboratory Technician,Outstanding,5,3,2289
1774,Sales,Very High,Sales Executive,Excellent,15,14,4001
1775,Research & Development,Low,Manufacturing Director,Outstanding,3,2,12965
1778,Human Resources,Medium,Human Resources,Excellent,9,7,3539
1779,Sales,Very High,Sales Executive,Excellent,2,2,6029
1780,Sales,Medium,Sales Representative,Excellent,1,0,2679
1782,Research & Development,Very High,Laboratory Technician,Excellent,5,4,3702
1783,Research & Development,High,Laboratory Technician,Excellent,1,0,2398
1784,Sales,Low,Sales Executive,Excellent,12,7,5468
1786,Research & Development,Low,Manager,Excellent,2,2,13116
1787,Sales,Medium,Sales Executive,Excellent,5,2,4189
1789,Research & Development,High,Research Director,Excellent,2,1,19328
1790,Research & Development,Very High,Healthcare Representative,Excellent,12,8,8321
1792,Research & Development,High,Research Scientist,Excellent,5,3,2342
1794,Human Resources,High,Human Resources,Excellent,10,0,4071
1797,Sales,High,Sales Executive,Excellent,10,7,5813
1798,Research & Development,Very High,Research Scientist,Excellent,10,8,3143
1799,Research & Development,High,Research Scientist,Excellent,5,3,2044
1800,Research & Development,High,Research Director,Outstanding,4,3,13464
1801,Sales,Medium,Sales Executive,Excellent,2,2,7991
1802,Research & Development,High,Laboratory Technician,Excellent,4,3,3377
1803,Research & Development,Medium,Healthcare Representative,Excellent,0,0,5538
1804,Research & Development,Medium,Manufacturing Director,Excellent,7,7,5762
1805,Human Resources,Low,Human Resources,Excellent,11,10,2592
1807,Research & Development,Very High,Laboratory Technician,Excellent,7,1,5346
1809,Research & Development,Very High,Manufacturing Director,Excellent,10,3,4213
1812,Sales,High,Sales Executive,Excellent,2,1,4127
1813,Research & Development,Low,Research Scientist,Excellent,3,2,2438
1814,Research & Development,Medium,Healthcare Representative,Excellent,3,2,6870
1815,Sales,High,Sales Executive,Excellent,22,14,10447
1816,Research & Development,Low,Manufacturing Director,Excellent,7,7,9667
1818,Human Resources,Very High,Human Resources,Excellent,5,1,2148
1821,Research & Development,Very High,Healthcare Representative,Outstanding,9,7,8926
1822,Research & Development,High,Healthcare Representative,Excellent,5,3,6513
1823,Sales,Medium,Sales Executive,Outstanding,10,8,6799
1824,Sales,Medium,Manager,Outstanding,16,9,16291
1826,Research & Development,Medium,Laboratory Technician,Excellent,5,4,2705
1827,Research & Development,High,Manufacturing Director,Excellent,22,11,10333
1829,Research & Development,Medium,Healthcare Representative,Excellent,7,4,4448
1830,Research & Development,Very High,Research Scientist,Excellent,7,1,6854
1833,Sales,Low,Sales Executive,Excellent,3,2,9637
1834,Research & Development,High,Research Scientist,Outstanding,3,2,3591
1835,Sales,Medium,Sales Representative,Outstanding,4,2,5405
1836,Sales,High,Sales Executive,Excellent,5,3,4684
1837,Research & Development,Low,Research Director,Excellent,2,2,15787
1839,Research & Development,Medium,Research Scientist,Excellent,0,0,1514
1842,Human Resources,Very High,Human Resources,Excellent,1,0,2956
1844,Human Resources,Low,Human Resources,Excellent,2,2,2335
1845,Sales,High,Sales Executive,Outstanding,8,7,5154
1847,Research & Development,Very High,Research Scientist,Outstanding,1,0,6962
1849,Sales,Low,Sales Executive,Outstanding,7,7,5675
1850,Research & Development,Very High,Laboratory Technician,Excellent,5,4,2379
1852,Research & Development,Very High,Laboratory Technician,Excellent,11,8,3812
1853,Sales,Very High,Sales Executive,Excellent,0,0,4648
1854,Research & Development,High,Research Scientist,Outstanding,6,3,2936
1856,Research & Development,Medium,Laboratory Technician,Excellent,2,2,2105
1857,Research & Development,Very High,Manufacturing Director,Excellent,9,8,8578
1858,Human Resources,High,Human Resources,Excellent,3,2,2706
1859,Research & Development,Very High,Healthcare Representative,Excellent,7,0,6384
1860,Research & Development,Very High,Laboratory Technician,Excellent,0,0,3968
1862,Sales,High,Sales Executive,Excellent,2,2,9907
1863,Sales,Low,Sales Executive,Excellent,19,17,13225
1864,Sales,Medium,Sales Representative,Outstanding,9,8,3540
1865,Human Resources,Very High,Human Resources,Excellent,1,0,2804
1866,Research & Development,Low,Manager,Excellent,16,12,19392
1867,Research & Development,Very High,Research Director,Excellent,22,10,19665
1868,Research & Development,Very High,Research Scientist,Outstanding,1,0,2439
1869,Sales,High,Sales Executive,Outstanding,8,7,7314
1870,Research & Development,Very High,Research Scientist,Excellent,7,6,4774
1871,Research & Development,Very High,Research Scientist,Excellent,2,2,3902
1873,Research & Development,Medium,Research Scientist,Outstanding,5,2,2662
1875,Sales,Medium,Sales Representative,Excellent,1,0,2856
1876,Sales,Medium,Sales Representative,Excellent,1,0,1081
1878,Research & Development,Very High,Research Scientist,Outstanding,1,0,2472
1880,Sales,Medium,Sales Executive,Excellent,10,9,5673
1881,Research & Development,Medium,Laboratory Technician,Excellent,10,8,4197
1882,Sales,High,Sales Executive,Excellent,5,3,9713
1883,Research & Development,Very High,Laboratory Technician,Excellent,3,2,2062
1885,Research & Development,Very High,Research Scientist,Outstanding,5,3,4284
1886,Research & Development,Very High,Manufacturing Director,Excellent,3,2,4788
1888,Research & Development,Medium,Manufacturing Director,Excellent,9,8,5906
1890,Human Resources,Medium,Human Resources,Outstanding,10,1,3886
1892,Research & Development,Low,Manager,Excellent,19,7,16823
1893,Research & Development,Medium,Research Scientist,Excellent,1,0,2933
1898,Sales,Low,Sales Executive,Excellent,8,7,6500
1900,Research & Development,Very High,Manager,Excellent,22,17,17174
1903,Research & Development,Medium,Healthcare Representative,Excellent,2,0,5033
1905,Research & Development,Very High,Research Scientist,Outstanding,5,2,2307
1907,Research & Development,Low,Laboratory Technician,Excellent,4,2,2587
1908,Sales,High,Sales Executive,Excellent,4,2,5507
1909,Sales,High,Sales Executive,Outstanding,5,4,4393
1911,Research & Development,High,Research Director,Excellent,13,7,13348
1912,Sales,High,Sales Executive,Excellent,5,2,6583
1915,Sales,Very High,Sales Executive,Excellent,4,2,8103
1916,Research & Development,Low,Laboratory Technician,Excellent,2,2,3978
1918,Research & Development,High,Laboratory Technician,Excellent,7,7,2544
1922,Research & Development,Medium,Healthcare Representative,Excellent,4,2,5399
